Year,Length (min),Title,Subject,Actor,Actress,Director,Popularity,Awards,"Filter cells that had ""The"" at end"
1926,126,Don Juan,Action,John Barrymore,Mary Astor,Alan Crosland,55,No,FALSE
1932,226,The Shadow of the Eagle ,Action,John Wayne,,,19,No,TRUE
1932,210,The Hurricane Express ,Action,John Wayne,,,68,No,TRUE
1939,101,Stanley & Livingstone,Action,Spencer Tracy,Nancy Kelly,Henry King,11,No,FALSE
1940,127,Northwest Passage,Action,Spencer Tracy,Ruth Hussey,King Vidor,51,No,FALSE
1942,101,Flying Tigers,Action,John Wayne,,David Miller,61,No,FALSE
1943,99,Destroyer,Action,Edward G. Robinson,Marguerite Chapman,William A. Seiter,87,No,FALSE
1949,100,The Fighting Kentuckian ,Action,John Wayne,Vera Ralston,George Waggner,74,No,TRUE
1950,112,The Asphalt Jungle ,Action,Sterling Hayden,Marilyn Monroe,John Huston,77,No,TRUE
1951,102,Flying Leathernecks,Action,John Wayne,,Nicholas Ray,23,No,FALSE
1953,92,His Majesty O'Keefe,Action,Burt Lancaster,,Byron Haskin,3,No,FALSE
1953,94,Vera Cruz,Action,Gary Cooper,,Robert Aldrich,71,No,FALSE
1953,116,Mogambo,Action,Clark Gable,Grace Kelly,John Ford,71,No,FALSE
1954,108,Long John Silver,Action,Robert Newton,Connie Gilchrist,Byron Haskin,56,No,FALSE
1956,99,Slightly Scarlet,Action,John Payne,Rhonda Fleming,Allan Dwan,52,No,FALSE
1957,112,Jet Pilot,Action,John Wayne,Janet Leigh,Josef von Sternberg,43,No,FALSE
1957,109,Legend of the Lost,Action,John Wayne,Sophia Loren,Henry Hathaway,84,No,FALSE
1958,104,The Barbarian & the Geisha ,Action,John Wayne,Eiko Ando,John Huston,52,No,TRUE
1959,91,Killers of Kilimanjaro,Action,Robert Taylor,Gregoire Aslan,Richard Thorpe,11,No,FALSE
1960,164,The Alamo ,Action,John Wayne,,John Wayne,29,No,TRUE
1960,91,Never Let Go,Action,Peter Sellers,,,5,No,FALSE
1961,110,Yojimbo,Action,Toshiro Mifune,,Akira Kurosawa,60,No,FALSE
1962,,Dr. No,Action,Sean Connery,Ursula Andress,Terence Young,7,No,FALSE
1962,182,Mutiny on the Bounty,Action,Marlon Brando,,,35,No,FALSE
1964,,From Russia with Love,Action,Sean Connery,,,6,No,FALSE
1964,112,Goldfinger,Action,Sean Connery,Honor Blackman,Guy Hamilton,77,No,FALSE
1966,76,Flight to Fury,Action,Jack Nicholson,,Monte Hellman,70,No,FALSE
1967,81,The Glory Stompers ,Action,Dennis Hopper,Jody McCrea,Anthony M. Lanza,27,No,TRUE
1967,100,A Coeur Joie (Head Over Heels),Action,Laurent Terzieff,Brigitte Bardot,Serge Bourguignon,54,No,FALSE
1968,121,Hellfighters,Action,John Wayne,Katharine Ross,Andrew V. McLaglen,22,No,FALSE
1968,103,Coogan's Bluff,Action,Clint Eastwood,Susan Clark,Don Siegel,57,No,FALSE
1969,80,Rebel Rousers,Action,Jack Nicholson,Diane Ladd,Martin B. Cohen,44,No,FALSE
1969,135,On Her Majesty's Secret Service,Action,George Lazenby,Diana Rigg,Peter R. Hunt,66,No,FALSE
1970,123,The Molly Maguires ,Action,Sean Connery,Samantha Eggar,Martin Ritt,3,No,TRUE
1970,90,Bloody Mama,Action,Don Stroud,Shelley Winters,Roger Corman,17,No,FALSE
1970,89,Menace on the Mountain,Action,Pat Crowley,,Vincent McEveety,69,No,FALSE
1971,121,The Red Tent ,Action,Peter Finch,,Mikhail Kalatozov,7,No,TRUE
1971,110,Big Jake,Action,John Wayne,Maureen O'Hara,George Sherman,68,No,FALSE
1972,71,The Big Bust Out ,Action,Tony Kendall,Karen Carter,Ernst R. von Theumer,50,No,TRUE
1972,92,Fuzz,Action,Burt Reynolds,Raquel Welch,Richard A. Colla,37,No,FALSE
1973,100,The Mackintosh Man ,Action,Paul Newman,Dominique Sanda,John Huston,65,No,TRUE
1973,122,Magnum Force,Action,Clint Eastwood,,Ted Post,28,No,FALSE
1973,87,Stacey!,Action,Anne Randall,Anitra Ford,Andy Sidaris,31,No,FALSE
1973,101,White Lightning,Action,Burt Reynolds,Jennifer Billingsley,Joseph Sargent,54,No,FALSE
1974,127,The Man with the Golden Gun ,Action,Roger Moore,Britt Ekland,Guy Hamilton,41,No,TRUE
1974,82,The Catamount Killing ,Action,Horst Buchholz,Ann Wedgeworth,Krzystoff Zanussi,84,No,TRUE
1974,109,Juggernaut,Action,Richard Harris,,Richard Lester,63,No,FALSE
1974,111,Mc Q,Action,John Wayne,Diana Muldaur,John Sturges,73,No,FALSE
1975,120,The Wind & the Lion ,Action,Sean Connery,Candice Bergen,John Milius,2,No,TRUE
1975,89,The Terrorists ,Action,Sean Connery,Isabel Dean,Caspar Wrede,4,No,TRUE
1975,112,The Yakuza ,Action,Robert Mitchum,,Sydney Pollack,16,No,TRUE
1975,130,The Eiger Sanction ,Action,Clint Eastwood,Vonetta McGee,Clint Eastwood,69,No,TRUE
1975,124,Jaws,Action,Roy Scheider,Lorraine Gary,Steven Spielberg,6,No,FALSE
1975,93,That Lucky Touch,Action,Roger Moore,Susannah York,Christopher Miles,85,No,FALSE
1976,128,Shout at the Devil,Action,Lee Marvin,Barbara Parkins,Peter R. Hunt,0,No,FALSE
1976,106,Robin & Marian,Action,Sean Connery,Audrey Hepburn,Richard Lester,6,No,FALSE
1976,92,Street People,Action,Roger Moore,,Maurizio Lucidi,25,No,FALSE
1977,109,The Gauntlet ,Action,Clint Eastwood,Sondra Locke,Clint Eastwood,18,No,TRUE
1977,136,The Spy Who Loved Me ,Action,Roger Moore,Barbara Bach,Lewis Gilbert,27,No,TRUE
1977,120,The Prince & the Pauper ,Action,Oliver Reed,Raquel Welch,Richard Fleischer,86,No,TRUE
1978,132,The Wild Geese ,Action,Richard Burton,Rosalind Lloyd,Andrew V. McLaglen,21,No,TRUE
1978,145,The Superman  Movie,Action,Marlon Brando,Margot Kidder,Richard Donner,87,No,TRUE
1978,111,Brass Target,Action,John Cassavetes,Sophia Loren,John Hough,53,No,FALSE
1979,88,The Treasure Seekers ,Action,Stuart Whitman,Elke Sommer,,2,No,TRUE
1979,105,Meteor,Action,Sean Connery,Natalie Wood,Ronald Neame,5,No,FALSE
1979,122,Cuba,Action,Sean Connery,Brooke Adams,Richard Lester,6,No,FALSE
1979,115,Hurricane,Action,Jason Robards,Mia Farrow,Jan Troell,8,No,FALSE
1979,85,Cocaine Cowboys,Action,Jack Palance,Suzanna Love,Ulli Lommel,17,No,FALSE
1979,128,Moonraker,Action,Roger Moore,Lois Chiles,Lewis Gilbert,32,No,FALSE
1979,112,Blood Feud,Action,Marcello Mastroianni,Sophia Loren,Lina Wertmuller,52,No,FALSE
1979,95,Scum,Action,Ray Winstone,,Alan Clarke,68,No,FALSE
1980,92,The Final Countdown ,Action,Kirk Douglas,Katharine Ross,Don Taylor,35,No,TRUE
1980,99,Ffolkes,Action,Roger Moore,,Andrew V. McLaglen,62,No,FALSE
1981,116,Raiders of the Lost Ark,Action,Harrison Ford,Karen Allen,Steven Spielberg,8,No,FALSE
1981,129,For Your Eyes Only,Action,Roger Moore,Carole Bouquet,John Glen,86,No,FALSE
1981,135,Choice of Arms,Action,Yves Montand,Catherine Deneuve,Alan Corneau,87,No,FALSE
1982,117,Blade Runner,Action,Harrison Ford,Daryl Hannah,Ridley Scott,1,No,FALSE
1982,101,Mother Lode,Action,Charlton Heston,Kim Basinger,Charlton Heston,40,No,FALSE
1982,128,Conan the Barbarian,Action,Arnold Schwarzenegger,Sandahl Bergman,John Milius,45,No,FALSE
1982,136,Firefox,Action,Clint Eastwood,,Clint Eastwood,64,No,FALSE
1982,92,48 Hrs.,Action,Nick Nolte,Annette O'Toole,Walter Hill,67,No,FALSE
1983,,The Moon in the Gutter ,Action,Gérard Depardieu,Nastassia Kinski,Jean-Jacques Beineix,29,No,TRUE
1983,134,Never Say Never Again,Action,Sean Connery,Kim Basinger,Irvin Kershner,8,No,FALSE
1983,97,Breathless,Action,Richard Gere,Valerie Kaprisky,Jim McBride,51,No,FALSE
1983,140,Octopussy,Action,Roger Moore,Maud Adams,John Glen,68,No,FALSE
1984,108,The Terminator ,Action,Arnold Schwarzenegger,Linda Hamilton,James Cameron,17,No,TRUE
1984,83,The Manhunt ,Action,Ernest Borgnine,,Larry Ludman,34,No,TRUE
1984,90,The Inside Man ,Action,Dennis Hopper,,Tom Clegg,45,No,TRUE
1984,102,Sword of the Valiant,Action,Miles O'Keeffe,Emma Sutton,Stephen Weeks,5,No,FALSE
1984,101,Target Eagle,Action,Chuck Connors,Maud Adams,José Antonio de la Loma,14,No,FALSE
1984,92,Crackers,Action,Donald Sutherland,,Louis Malle,17,No,FALSE
1984,96,Roadhouse Sixty-Six,Action,Willem Dafoe,,John Mark Robinson,20,No,FALSE
1984,106,Romancing the Stone,Action,Michael Douglas,Kathleen Turner,Robert  Zemeckis,83,No,FALSE
1985,106,The Jewel of the Nile ,Action,Michael Douglas,Kathleen Turner,Lewis Teague,68,No,TRUE
